Format,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,TV,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Radio,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast,Podcast
Type,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial,All,All,All,All,All,BBC,BBC,BBC,BBC,BBC,Commercial,Commercial,Commercial,Commercial,Commercial
Gender,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other,Total,% Female,Female,Male,Other
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
1984,190,10.0%,19,171,0,190,10.0%,19,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,10.0%,19,171,0,190,10.0%,19,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,176,8.5%,15,161,0,176,8.5%,15,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,8.5%,15,161,0,176,8.5%,15,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,145,6.2%,9,136,0,145,6.2%,9,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,6.2%,9,136,0,145,6.2%,9,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,188,5.3%,10,178,0,188,5.3%,10,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,5.3%,10,178,0,188,5.3%,10,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,163,9.2%,15,148,0,163,9.2%,15,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,9.2%,15,148,0,163,9.2%,15,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,163,3.1%,5,158,0,163,3.1%,5,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,3.1%,5,158,0,163,3.1%,5,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,227,6.2%,14,213,0,227,6.2%,14,213,0,0,0,0,0,0,40,15.0%,6,34,0,40,15.0%,6,34,0,0,0,0,0,0,187,4.3%,8,179,0,187,4.3%,8,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,238,5.9%,14,224,0,238,5.9%,14,224,0,0,0,0,0,0,50,8.0%,4,46,0,50,8.0%,4,46,0,0,0,0,0,0,188,5.3%,10,178,0,188,5.3%,10,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,343,8.5%,29,314,0,343,8.5%,29,314,0,0,0,0,0,0,121,11.6%,14,107,0,121,11.6%,14,107,0,0,0,0,0,0,222,6.8%,15,207,0,222,6.8%,15,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,302,10.6%,32,269,1,302,10.6%,32,269,1,0,0,0,0,0,132,19.7%,26,105,1,132,19.7%,26,105,1,0,0,0,0,0,170,3.5%,6,164,0,170,3.5%,6,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,302,5.0%,15,287,0,302,5.0%,15,287,0,0,0,0,0,0,80,10.0%,8,72,0,80,10.0%,8,72,0,0,0,0,0,0,222,3.2%,7,215,0,222,3.2%,7,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,430,8.8%,38,392,0,430,8.8%,38,392,0,0,0,0,0,0,210,12.9%,27,183,0,210,12.9%,27,183,0,0,0,0,0,0,220,5.0%,11,209,0,220,5.0%,11,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,578,11.1%,64,514,0,578,11.1%,64,514,0,0,0,0,0,0,353,15.3%,54,299,0,353,15.3%,54,299,0,0,0,0,0,0,225,4.4%,10,215,0,225,4.4%,10,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,566,9.0%,51,515,0,566,9.0%,51,515,0,0,0,0,0,0,323,13.6%,44,279,0,323,13.6%,44,279,0,0,0,0,0,0,243,2.9%,7,236,0,243,2.9%,7,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,530,9.2%,49,481,0,530,9.2%,49,481,0,0,0,0,0,0,227,10.1%,23,204,0,227,10.1%,23,204,0,0,0,0,0,0,303,8.6%,26,277,0,303,8.6%,26,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,641,10.8%,69,572,0,641,10.8%,69,572,0,0,0,0,0,0,348,13.8%,48,300,0,348,13.8%,48,300,0,0,0,0,0,0,293,7.2%,21,272,0,293,7.2%,21,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,604,14.1%,85,519,0,604,14.1%,85,519,0,0,0,0,0,0,319,13.2%,42,277,0,319,13.2%,42,277,0,0,0,0,0,0,285,15.1%,43,242,0,285,15.1%,43,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,717,15.1%,108,609,0,717,15.1%,108,609,0,0,0,0,0,0,397,13.1%,52,345,0,397,13.1%,52,345,0,0,0,0,0,0,320,17.5%,56,264,0,320,17.5%,56,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,842,17.9%,151,691,0,842,17.9%,151,691,0,0,0,0,0,0,555,18.6%,103,452,0,555,18.6%,103,452,0,0,0,0,0,0,287,16.7%,48,239,0,287,16.7%,48,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,745,14.5%,108,637,0,745,14.5%,108,637,0,0,0,0,0,0,411,13.9%,57,354,0,411,13.9%,57,354,0,0,0,0,0,0,334,15.3%,51,283,0,334,15.3%,51,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,665,13.1%,87,578,0,658,12.9%,85,573,0,7,28.6%,2,5,0,385,13.0%,50,335,0,378,12.7%,48,330,0,7,28.6%,2,5,0,280,13.2%,37,243,0,280,13.2%,37,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,805,13.9%,112,693,0,721,13.5%,97,624,0,84,17.9%,15,69,0,471,14.2%,67,404,0,387,13.4%,52,335,0,84,17.9%,15,69,0,334,13.5%,45,289,0,334,13.5%,45,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,900,14.7%,132,768,0,725,13.7%,99,626,0,175,18.9%,33,142,0,578,15.9%,92,486,0,403,14.6%,59,344,0,175,18.9%,33,142,0,322,12.4%,40,282,0,322,12.4%,40,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,939,15.1%,142,797,0,875,14.9%,130,745,0,64,18.8%,12,52,0,525,13.5%,71,454,0,461,12.8%,59,402,0,64,18.8%,12,52,0,414,17.1%,71,343,0,414,17.1%,71,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,988,19.5%,193,795,0,678,17.6%,119,559,0,310,23.9%,74,236,0,694,18.2%,126,568,0,384,13.5%,52,332,0,310,23.9%,74,236,0,294,22.8%,67,227,0,294,22.8%,67,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
