Episode,Date,Guests (Himself/Herself - Role),References
8x06,2012-01-30,p8h0unpx:Tom Wrigglesworth (Himself);m2nw4eae:David Mitchell (Himself - Host);ltky6r8w:Tony Hawks (Himself);hk2rczao:Alan Davies (Himself);df8k5tz6:John Finnemore (Himself);,
9x01,2012-04-02,ltky6r8w:Tony Hawks (Himself);m2nw4eae:David Mitchell (Himself - Host);dvfmpovw:Arthur Smith (Himself);pgoexum5:Lucy Porter (Herself);0i00czvq:Graeme Garden (Himself);,
9x02,2012-04-09,df8k5tz6:John Finnemore (Himself);5dvk7gjz:Henning Wehn (Himself);p8h0unpx:Tom Wrigglesworth (Himself);m2nw4eae:David Mitchell (Himself - Host);34qt5d7m:Danielle Ward (Herself);,
9x03,2012-04-16,hk2rczao:Alan Davies (Himself);m2nw4eae:David Mitchell (Himself - Host);funl9xzs:Marcus Brigstocke (Himself);lcx9zc14:Miles Jupp (Himself);nlbhhrhx:Susan Calman (Herself);,
9x04,2012-04-23,m2nw4eae:David Mitchell (Himself - Host);dvfmpovw:Arthur Smith (Himself);ltky6r8w:Tony Hawks (Himself);pgoexum5:Lucy Porter (Herself);0i00czvq:Graeme Garden (Himself);,
9x05,2012-04-30,34qt5d7m:Danielle Ward (Herself);5dvk7gjz:Henning Wehn (Himself);df8k5tz6:John Finnemore (Himself);p8h0unpx:Tom Wrigglesworth (Himself);m2nw4eae:David Mitchell (Himself - Host);,
9x06,2012-05-07,hk2rczao:Alan Davies (Himself);funl9xzs:Marcus Brigstocke (Himself);nlbhhrhx:Susan Calman (Herself);lcx9zc14:Miles Jupp (Himself);m2nw4eae:David Mitchell (Himself - Host);,
10x01,2012-12-31,lqu3n4lu:Ed Byrne (Himself);m2nw4eae:David Mitchell (Himself - Host);ltky6r8w:Tony Hawks (Himself);eylau49t:Charlie Higson (Himself);pgoexum5:Lucy Porter (Herself);,
10x02,2013-01-07,m2nw4eae:David Mitchell (Himself - Host);w4g8xnp5:Rhod Gilbert (Himself);5dvk7gjz:Henning Wehn (Himself);cr7ce9yy:Lloyd Langford (Himself);26sqvuc5:Celia Pacquola (Herself);,
10x03,2013-01-14,xlfikdcz:Holly Walsh (Herself);5dvk7gjz:Henning Wehn (Himself);df8k5tz6:John Finnemore (Himself);m2nw4eae:David Mitchell (Himself - Host);dvfmpovw:Arthur Smith (Himself);,
10x04,2013-01-21,m2nw4eae:David Mitchell (Himself - Host);eylau49t:Charlie Higson (Himself);lqu3n4lu:Ed Byrne (Himself);pgoexum5:Lucy Porter (Herself);ltky6r8w:Tony Hawks (Himself);,
10x05,2013-01-28,m2nw4eae:David Mitchell (Himself - Host);sx5n2tkh:Phill Jupitus (Himself);funl9xzs:Marcus Brigstocke (Himself);cr7ce9yy:Lloyd Langford (Himself);26sqvuc5:Celia Pacquola (Herself);,
10x06,2013-02-04,df8k5tz6:John Finnemore (Himself);5dvk7gjz:Henning Wehn (Himself);dvfmpovw:Arthur Smith (Himself);m2nw4eae:David Mitchell (Himself - Host);xlfikdcz:Holly Walsh (Herself);,
11x01,2013-04-08,0i00czvq:Graeme Garden (Himself);c26v5h9k:Katherine Ryan (Herself);5dvk7gjz:Henning Wehn (Himself);cr7ce9yy:Lloyd Langford (Himself);m2nw4eae:David Mitchell (Himself - Host);,
11x02,2013-04-15,m2nw4eae:David Mitchell (Himself - Host);w4g8xnp5:Rhod Gilbert (Himself);5a6ylpdb:Richard Osman (Himself);qw17f42h:Lucy Beaumont (Herself);df8k5tz6:John Finnemore (Himself);,
11x03,2013-04-22,ltky6r8w:Tony Hawks (Himself);pgoexum5:Lucy Porter (Herself);kb3a51qs:Mark Watson (Himself);lqu3n4lu:Ed Byrne (Himself);m2nw4eae:David Mitchell (Himself - Host);,
11x04,2013-04-29,c26v5h9k:Katherine Ryan (Herself);cr7ce9yy:Lloyd Langford (Himself);0i00czvq:Graeme Garden (Himself);5dvk7gjz:Henning Wehn (Himself);m2nw4eae:David Mitchell (Himself - Host);,
11x05,2013-05-06,5a6ylpdb:Richard Osman (Himself);df8k5tz6:John Finnemore (Himself);qw17f42h:Lucy Beaumont (Herself);w4g8xnp5:Rhod Gilbert (Himself);m2nw4eae:David Mitchell (Himself - Host);,
11x06,2013-05-13,pgoexum5:Lucy Porter (Herself);m2nw4eae:David Mitchell (Himself - Host);lqu3n4lu:Ed Byrne (Himself);kb3a51qs:Mark Watson (Himself);ltky6r8w:Tony Hawks (Himself);,
12x01,2013-12-30,m2nw4eae:David Mitchell (Himself - Host);dvfmpovw:Arthur Smith (Himself);5dvk7gjz:Henning Wehn (Himself);rpplxf6m:Bridget Christie (Herself);lqu3n4lu:Ed Byrne (Himself);,
12x02,2014-01-06,funl9xzs:Marcus Brigstocke (Himself);m2nw4eae:David Mitchell (Himself - Host);h663jn38:Rufus Hound (Himself);df8k5tz6:John Finnemore (Himself);xlfikdcz:Holly Walsh (Herself);,
12x03,2014-01-13,87ulicd3:Jeremy Hardy (Himself);0i00czvq:Graeme Garden (Himself);x5unmeqr:Victoria Coren Mitchell (Herself);5dvk7gjz:Henning Wehn (Himself);m2nw4eae:David Mitchell (Himself - Host);,
12x04,2014-01-20,bbjlysaj:Fred MacAulay (Himself);p8h0unpx:Tom Wrigglesworth (Himself);pgoexum5:Lucy Porter (Herself);cr7ce9yy:Lloyd Langford (Himself);m2nw4eae:David Mitchell (Himself - Host);,
12x05,2014-01-27,h663jn38:Rufus Hound (Himself);df8k5tz6:John Finnemore (Himself);xlfikdcz:Holly Walsh (Herself);funl9xzs:Marcus Brigstocke (Himself);m2nw4eae:David Mitchell (Himself - Host);,
12x06,2014-02-03,87ulicd3:Jeremy Hardy (Himself);x5unmeqr:Victoria Coren Mitchell (Herself);m2nw4eae:David Mitchell (Himself - Host);0i00czvq:Graeme Garden (Himself);5dvk7gjz:Henning Wehn (Himself);,
13x01,2014-04-07,goz3ofbt:Jack Dee (Himself);m2nw4eae:David Mitchell (Himself - Host);qw17f42h:Lucy Beaumont (Herself);n87xrdv6:Alex Horne (Himself);df8k5tz6:John Finnemore (Himself);,
13x02,2014-04-14,m2nw4eae:David Mitchell (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);c26v5h9k:Katherine Ryan (Herself);k6egqudh:Jon Richardson (Himself);0i00czvq:Graeme Garden (Himself);,
13x03,2014-04-21,n87xrdv6:Alex Horne (Himself);m2nw4eae:David Mitchell (Himself - Host);qw17f42h:Lucy Beaumont (Herself);df8k5tz6:John Finnemore (Himself);goz3ofbt:Jack Dee (Himself);,
13x04,2014-04-28,0i00czvq:Graeme Garden (Himself);k6egqudh:Jon Richardson (Himself);c26v5h9k:Katherine Ryan (Herself);cr7ce9yy:Lloyd Langford (Himself);m2nw4eae:David Mitchell (Himself - Host);,
13x05,2014-05-05,lcx9zc14:Miles Jupp (Himself);sx5n2tkh:Phill Jupitus (Himself);nlbhhrhx:Susan Calman (Herself);ltky6r8w:Tony Hawks (Himself);m2nw4eae:David Mitchell (Himself - Host);,
13x06,2014-05-12,lcx9zc14:Miles Jupp (Himself);sx5n2tkh:Phill Jupitus (Himself);nlbhhrhx:Susan Calman (Herself);ltky6r8w:Tony Hawks (Himself);m2nw4eae:David Mitchell (Himself - Host);,
14x01,2014-12-29,m2nw4eae:David Mitchell (Himself - Host);nlbhhrhx:Susan Calman (Herself);cr7ce9yy:Lloyd Langford (Himself);qzdunwq0:David O'Doherty (Himself);ysvv93ea:Josh Widdicombe (Himself);,
14x02,2015-01-05,m2nw4eae:David Mitchell (Himself - Host);lqu3n4lu:Ed Byrne (Himself);5dvk7gjz:Henning Wehn (Himself);xlfikdcz:Holly Walsh (Herself);5a6ylpdb:Richard Osman (Himself);,
14x03,2015-01-12,m2nw4eae:David Mitchell (Himself - Host);dvfmpovw:Arthur Smith (Himself);oxyl45br:Sarah Millican (Herself);nch01m5e:Sandi Toksvig (Herself);0i00czvq:Graeme Garden (Himself);,
14x04,2015-01-19,m2nw4eae:David Mitchell (Himself - Host);lqu3n4lu:Ed Byrne (Himself);xlfikdcz:Holly Walsh (Herself);5a6ylpdb:Richard Osman (Himself);5dvk7gjz:Henning Wehn (Himself);,
14x05,2015-01-26,m2nw4eae:David Mitchell (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);ysvv93ea:Josh Widdicombe (Himself);nlbhhrhx:Susan Calman (Herself);qzdunwq0:David O'Doherty (Himself);,
14x06,2015-02-02,m2nw4eae:David Mitchell (Himself - Host);dvfmpovw:Arthur Smith (Himself);oxyl45br:Sarah Millican (Herself);nch01m5e:Sandi Toksvig (Herself);0i00czvq:Graeme Garden (Himself);,
15x01,2015-08-24,m2nw4eae:David Mitchell (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);5dvk7gjz:Henning Wehn (Himself);lyr97zzu:Sara Pascoe (Herself);lcx9zc14:Miles Jupp (Himself);,
15x02,2015-08-31,m2nw4eae:David Mitchell (Himself - Host);dvfmpovw:Arthur Smith (Himself);k6egqudh:Jon Richardson (Himself);nlbhhrhx:Susan Calman (Herself);qzdunwq0:David O'Doherty (Himself);,
15x03,2015-09-07,m2nw4eae:David Mitchell (Himself - Host);cr7ce9yy:Lloyd Langford (Himself);5dvk7gjz:Henning Wehn (Himself);lyr97zzu:Sara Pascoe (Herself);lcx9zc14:Miles Jupp (Himself);,
15x04,2015-09-14,m2nw4eae:David Mitchell (Himself - Host);oxyl45br:Sarah Millican (Herself);x5unmeqr:Victoria Coren Mitchell (Herself);xlfikdcz:Holly Walsh (Herself);c26v5h9k:Katherine Ryan (Herself);,
15x05,2015-09-21,m2nw4eae:David Mitchell (Himself - Host);qzdunwq0:David O'Doherty (Himself);nlbhhrhx:Susan Calman (Herself);k6egqudh:Jon Richardson (Himself);dvfmpovw:Arthur Smith (Himself);,
15x06,2015-09-28,m2nw4eae:David Mitchell (Himself - Host);oxyl45br:Sarah Millican (Herself);x5unmeqr:Victoria Coren Mitchell (Herself);xlfikdcz:Holly Walsh (Herself);c26v5h9k:Katherine Ryan (Herself);,
