# Fields: Name	IMDB ID	Wikipedia	Chortle ID	Gender
Angela Rumbold		Angela_Rumbold		female
Angela Scoular	nm0780029	Angela_Scoular		female
Angela Thorne	nm0861354	Angela_Thorne		female
Angela Voss				female
Angellica Bell	nm1695582	Angellica_Bell		female
Angelos Epithemiou	nm1360837	Dan_Renton_Skinner	33535	male
Angharad Rees	nm0715878	Angharad_Rees		female
Angie Hobbes				female
Angie Hobbs		Angie_Hobbs		female
Angie Le Mar		Angie_Le_Mar	33905	female
Angus Deayton	nm0213291	Angus_Deayton		male
Angus Lockyer				male
Angus Maude		Angus_Maude		male
Angus Robertson		Angus_Robertson		male
Angus Wilson		Angus_Wilson		
Anika Bostelaar		Girl_Thing		female
Anil Seth		Anil_Seth		
Anila Graham				female
Anita Anand	nm1885159	Anita_Anand		female
Anita Dobson	nm0229886	Anita_Dobson		female
Anita Prynne				female
Anjula Mutanda		Anjula_Mutanda		female
Ann Bell	nm0068029	Ann_Bell		female
Ann Burdus				female
Ann Clwyd		Ann_Clwyd		female
Ann Firbank	nm0278615	Ann_Firbank		female
Ann Hamilton				female
Ann Hughes		Ann_Harriet_Hughes		female
Ann Leslie		Ann_Leslie		female
Ann Mallalieu		Ann_Mallalieu,_Baroness_Mallalieu		female
Ann Mitchell	nm0593129	Ann_Mitchell		female
Ann Morrish	nm0607046	Ann_Morrish		female
Ann Pasternak Slater		Ann_Pasternak_Slater		female
Ann Robinson	nm0732378	Ann_Robinson		female
Ann Taylor				female
Ann Widdecombe		Ann_Widdecombe		female
Ann Winterton		Ann_Winterton		female
Ann-Marlene Henning				female
Anna Acton	nm1111917	Anna_Acton		female
Anna Burnside				female
Anna Coote				female
Anna Fey				female
Anna Ford	nm0285507	Anna_Ford		female
Anna Friel	nm0295484	Anna_Friel		female
Anna Kournikova	nm0468045	Anna_Kournikova		female
Anna Marie Roos				female
Anna Massey	nm0557281	Anna_Massey		female
Anna Raeburn		Anna_Raeburn		female
Anna Richardson	nm0724417	Anna_Richardson		female
Anna Ryder				female
Anna Ryder Richardson	nm0753081	Anna_Ryder_Richardson		female
Anna Soubry		Anna_Soubry		female
Anna Vinton				female
Anna Watkins		Anna_Watkins		female
Anna White				female
Anna Wing	nm0934923	Anna_Wing		female
Annabel Brett				female
Annabel Croft	nm0188456	Annabel_Croft		female
Annabel Giles	nm0318435	Annabel_Giles		female
Annabel Goldie		Annabel_Goldie		female
Annabelle Apsion	nm0032536	Annabelle_Apsion		female
Anne Atkins		Anne_Atkins		female
Anne Campbell		Anne_Campbell		female
Anne Charleston	nm0153188	Anne_Charleston		female
Anne Curry		Anne_Curry		female
Anne Diamond	nm0224584	Anne_Diamond		female
Anne Gerritsen				female
Anne Glover				female
Anne Green		Anne_Green		female
Anne Gregg		Anne_Gregg		female
Anne Hardy		Anne_Hardy		female
Anne Hegerty		Anne_Hegerty		female
Anne Hooper		Anne_Hooper		female
Anne Hudson		Anne_Hudson		female
Anne Janowitz				female
Anne Jones				female
Anne Kelleher				female
Anne Keothavong		Anne_Keothavong		female
Anne Leslie		Ann_Leslie		female
Anne McElvoy		Anne_McElvoy		female
Anne McGuire		Anne_McGuire		female
Anne McKenzie		Anne_McKenzie		female
Anne Minto				female
Anne Murphy				female
Anne Nolan		The_Nolans		female
Anne Perry		Anne_Perry		female
Anne Robinson	nm732381	Anne_Robinson		female
Anne Sheppard		Anne_Sheppard		female
Anne Sofer				female
Anne Stallybrass	nm0821749	Anne_Stallybrass		female
Anne Wright		Anne_Wright		female
Anne-Marie Huby		Anne-Marie_Huby		female
Anneka Rice		Anneka_Rice		female
Annette Crosbie	nm188950	Annette_Crosbie		female
Annette Hoggard				female
Annette Karmiloff-Smith		Annette_Karmiloff-Smith		female
Annie Farrow				female
Annie Janowitz				female
Annie Lennox		Annie_Lennox		female
Annie MacManus		Annie_Mac		female
Annie Nightingale		Annie_Nightingale		female
Annie Stewart				female
Anona Winn	nm0935315	Anona_Winn		female
Anouska Hempel	nm0376138	Anouska_Hempel		female
Anthea Turner		Anthea_Turner		female
Anthony Berlingeri				male
Anthony Crank		Anthony_Crank		male
Anthony Cross		Anthony_Cross		male
Anthony Frodsham				male
Anthony Grayling		A._C._Grayling		male
Anthony Head	nm372117	Anthony_Head		male
Anthony Holden		Anthony_Holden		male
