xstc1ush,"Milton Jones",Himself,male,1964,81,54:55;43:10;92:7;85:3,Milton_Jones
fwsawolj,"Richard Ayoade",Himself,male,1977,81,11:18;67:16;39:11;17:9;88:8;83:3;81:3,Richard_Ayoade
p3q1pn34,"Dougie Anderson",Himself,male,1976,80,31:79,Dougie_Anderson
4omd31xd,"Kerry Godliman",Herself,female,,80,57:16;78:12;54:11;61:6;50:6;0:4;3:3,Kerry_Godliman
2si5a6d3,"Rod Liddle",Himself,male,1960,80,16:67;68:9,Rod_Liddle
japacokt,"Paul Sinha",Himself,male,1970,79,31:26;57:16;78:10;50:6;8:6;92:4;33:4,Paul_Sinha
1dbx2ase,"Henry Cooper",Himself,male,1934,78,66:78,Henry_Cooper
rwxhc32a,"Joe Lycett",Himself,male,1988,78,17:12;45:9;2:9;78:8;50:4;0:4;93:3,Joe_Lycett
bpkow9yl,"Deborah Frances-White",Herself,female,,77,33:71,Deborah_Frances-White
luynjnx4,"Andrew Maxwell",Himself,male,1974,76,57:34;14:15;18:3;4:3;71:2;29:2;12:2,Andrew_Maxwell
5c44y6fb,"Chris Ramsey",Himself,male,1986,76,18:33;87:15;78:10;0:4;77:3;56:3;44:3,Chris_Ramsey_(comedian)
4hgpp1yz,"Lesley Garrett",Herself,female,1955,76,52:75,Lesley_Garrett
v6koxi80,"Tim Rice",Himself,male,1944,76,50:50;16:22,Tim_Rice
hahgf89a,"Michael White",Himself,male,,75,60:48;57:25,
4lzawlf5,"Aisling Bea",Herself,female,1984,74,0:26;2:17;78:8;17:4;3:3;85:2;41:2,Aisling_Bea
85eqhjy7,"Claire Sweeney",Herself,female,1971,74,52:72,Claire_Sweeney
j9nk18ol,"John Bishop",Himself,male,1966,74,3:44;52:9;31:6;13:3;0:3,John_Bishop_(comedian)
6ofgtlik,"Gloria Hunniford",Herself,female,1940,72,52:66,Gloria_Hunniford
8zqe3f8c,"Charles Kennedy",Himself,male,1959,71,68:42;60:15;39:8;57:6,Charles_Kennedy
m5gihwar,"Ed Gamble",Himself,male,1986,71,54:42;78:11;61:6;40:3,Ed_Gamble
sbynrgke,"Ned Sedgwick",Himself,male,,71,33:71,
wguqcrlr,"Matt Lucas",Himself,male,1974,70,72:58;2:6;52:3,Matt_Lucas
lg4f4z19,"Armando Iannucci",Himself,male,1963,69,57:27;1:18;39:10;68:4;85:3;38:2;32:2,Armando_Iannucci
onmudl5p,"Georgie Thompson",Herself,female,1977,69,3:38;31:30,Georgie_Thompson
vnpyzg64,"Jamali Maddix",Himself,male,,69,56:28;32:13;78:10;61:6;0:3;17:2;7:2,Jamali_Maddix
o4ohfiqq,"John Sergeant",Himself,male,1944,68,4:36;57:15;68:5;39:4;50:3;16:2,John_Sergeant_(journalist)
cr7ce9yy,"Lloyd Langford",Himself,male,1983,68,85:23;6:16;57:9;92:6;49:6,Lloyd_Langford
2ufl1i4u,"Dave Gorman",Himself,male,1971,67,70:12;89:9;78:5;50:5;38:5;82:4;57:4,Dave_Gorman
hhduglg9,"Roy Hattersley",Himself,male,1932,67,68:35;57:25;60:6,Roy_Hattersley
d9v5vbkt,"Shaparak Khorsandi",Herself,female,1973,67,50:25;57:7;68:4;52:4;0:3;85:2;82:2,Shaparak_Khorsandi
1fchiwmk,"Stephen Mangan",Himself,male,1972,65,39:14;50:6;83:5;81:5;52:5;0:5;93:4,Stephen_Mangan
iysm1k9t,"Alexander Armstrong",Himself,male,1970,63,39:39;12:13;25:6;52:3,Alexander_Armstrong_(comedian)
pyqgtpx8,"David Baddiel",Himself,male,1964,63,38:30;78:10;68:3;17:3;93:2;86:2;72:2,David_Baddiel
qzdunwq0,"David O'Doherty",Himself,male,1975,63,17:21;0:15;85:10;56:6;76:4;93:2,David_O'Doherty
59gmixwl,"Desiree Burch",Herself,female,1979,63,57:11;78:10;32:7;50:6;33:6;67:2;54:2,Desiree_Burch
jma7jazd,"Maisie Adam",Herself,female,1994,63,54:18;39:7;61:6;14:6;3:6;40:3;2:3,Maisie_Adam
qa5s3f3t,"Phil Wang",Himself,male,1984,63,39:11;78:10;61:6;85:4;57:3;40:3;38:3,Wong_Fu_Productions
qw6vdex8,"Eleanor Oldroyd",Herself,female,1962,62,31:62,Eleanor_Oldroyd
ugqff5sw,"Terri Dwyer",Herself,female,1973,62,52:62,Terri_Dwyer
75gf53uy,"Tom Allen",Himself,male,,60,54:15;17:10;0:6;2:5;50:4;40:3;3:3,Tom_Allen
gc44eurf,"Alan Carr",Himself,male,1976,58,52:18;17:14;0:7;11:6;3:4;83:2;24:2,Alan_Carr
3p2e3gxk,"Kerry Katona",Herself,female,1980,58,52:53,Kerry_Katona
rasf33l1,"Paddy McGuinness",Himself,male,1973,58,18:32;52:16;66:4;0:3,Paddy_McGuinness
o7fyqsem,"Rich Hall",Himself,male,1954,58,2:25;56:6;39:5;57:4;86:3;76:3;85:2,Rich_Hall
a7y0buzm,"Charlie Brooker",Himself,male,1971,57,94:17;74:17;39:10;85:4;93:3;0:3;56:1,Charlie_Brooker
34qt5d7m,"Danielle Ward",Herself,female,1978,57,26:37;57:10;23:4;85:2;33:2,Danielle_Ward
m2czff56,"Kenneth Clarke",Himself,male,1940,57,68:57,Kenneth_Clarke
