Episode,Date,Guests (Himself/Herself - Role),References
4x49,1970-03-19,spu3rctm:Barbara Kelly (Herself);1lhacs9u:Vicomte Bernard de la Giraudiere (Himself);95k4c8nh:Gwyn Thomas (Himself);s0fwa0k9:Bernard Braden (Himself);otjasyul:Isobel Black (Herself);e55jw3cn:Muriel Pavlow (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/5681e35f8ec146b981b91c01fb231e02
4x50,1970-03-26,3o6bobkz:Katie Boyle (Herself);vvf9tt4c:Terence Brady (Himself);qrwvg9xr:Ted Moult (Himself);bmibqu3h:Geoffrey Wheeler (Himself);5hl0t1z5:Wendy Hall (Herself);5okfl313:Nina van Pallandt (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/87b18165b2b94ac696e4fe1c6c4c29f0 http://www.imdb.com/title/tt1803300/
4x51,1970-04-02,hvjer9jq:Catherine Boyle (Herself);ycybatj8:Ian Carmichael (Himself);0netrwgu:Joe Melia (Himself);bmibqu3h:Geoffrey Wheeler (Himself);kb7br2of:Stephanie Beacham (Herself);gpjxpjcb:Patricia Smyllie (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/a62eaf0dec9546fe84f27d91223b4e66
4x52,1970-04-09,i1zcv1zz:Sylvia Syms (Herself);s1c56jpd:Robert Mill (Himself);h8r9h18o:Alan Pegler (Himself);3llo1lg2:Peter Haigh (Himself);4fk493cc:Angela Down (Herself);g1sikn2h:Patricia Laffan (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/cfc99e65289d4c2ea9f65e4b7e65b417
4x53,1970-04-16,i1zcv1zz:Sylvia Syms (Herself);bxuoqxn4:Patrick Cargill (Himself);cttjd21h:Edward de Souza (Himself);3llo1lg2:Peter Haigh (Himself);3vqsxv5m:Alexandra Bastedo (Herself);9k7swpjj:Gillian Hawser (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/2d7792db1577441e9e55a3a56efc1eb3
4x54,1970-04-23,cx7fjuj3:Drusilla Beyfus (Herself);0i8o2cqq:John Laurie (Himself);q947ultx:Frank Windsor (Himself);b4tqw6qa:Michael Trubshawe (Himself);wnbkur9f:Juliet Harmer (Herself);7mwq5l6k:Frances Bennett (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/b48bdb74a536433aba47949bc7373f35
4x55,1970-04-30,cx7fjuj3:Drusilla Beyfus (Herself);0i8o2cqq:John Laurie (Himself);q947ultx:Frank Windsor (Himself);b4tqw6qa:Michael Trubshawe (Himself);wnbkur9f:Juliet Harmer (Herself);7mwq5l6k:Frances Bennett (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/46136c5029e94d71860d851fa6d879ed
4x56,1970-05-07,ro1kzis6:Katharine Whitehorn (Herself);95k4c8nh:Gwyn Thomas (Himself);sj582l0c:Bruce Trent (Himself);yg0ozo5l:Fyfe Robertson (Himself);4kpxecj5:Angela Douglas (Herself);aqqnx1t6:Anita Prynne (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/2a9ba33a9a8c43b0af8cfd7df500fd0b
4x57,1970-05-14,ro1kzis6:Katharine Whitehorn (Herself);95k4c8nh:Gwyn Thomas (Himself);sj582l0c:Bruce Trent (Himself);yg0ozo5l:Fyfe Robertson (Himself);4kpxecj5:Angela Douglas (Herself);aqqnx1t6:Anita Prynne (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/3499a47c91b343a896a8c33736472fa4
4x58,1970-05-21,wwkpqdzx:Antonia Fraser (Herself);4bgh3hgu:Clive Dunn (Himself);dzs8dz72:Clement Freud (Himself);bmibqu3h:Geoffrey Wheeler (Himself);ac3z56jb:Joanna Jones (Herself);e55jw3cn:Muriel Pavlow (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/4e17c5af6acb492ab292f51bcda5430a
4x59,1970-05-28,wwkpqdzx:Antonia Fraser (Herself);4bgh3hgu:Clive Dunn (Himself);dzs8dz72:Clement Freud (Himself);bmibqu3h:Geoffrey Wheeler (Himself);ac3z56jb:Joanna Jones (Herself);e55jw3cn:Muriel Pavlow (Herself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/b916472b7d5d4fc59e208c3c7109ca5f
5x01,1970-09-14,oncin0w0:Frank Muir (Himself - Team Captain);4kpxecj5:Angela Douglas (Herself);4fhc2see:Alan Bennett (Himself);bmibqu3h:Geoffrey Wheeler (Himself);wn1yamvj:Nemone Lethbridge (Herself);jo3yb59z:Sam Kydd (Himself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/e2c84da5x5801cf425d7a298ce
5x02,1970-09-21,oncin0w0:Frank Muir (Himself - Team Captain);4kpxecj5:Angela Douglas (Herself);4fhc2see:Alan Bennett (Himself);bmibqu3h:Geoffrey Wheeler (Himself);wn1yamvj:Nemone Lethbridge (Herself);jo3yb59z:Sam Kydd (Himself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/34e5x641fbac3c0f19ef870982
5x03,1970-09-28,oncin0w0:Frank Muir (Himself - Team Captain);jfdb7gqq:Sheila Hancock (Herself);k2d5bkru:Richard Wattis (Himself);bmibqu3h:Geoffrey Wheeler (Himself);otjasyul:Isobel Black (Herself);ilw6409z:Lance Percival (Himself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/f228e25ac7994563ac2f82a5f2b9d9cc
5x04,1970-10-05,oncin0w0:Frank Muir (Himself - Team Captain);jfdb7gqq:Sheila Hancock (Herself);k2d5bkru:Richard Wattis (Himself);bmibqu3h:Geoffrey Wheeler (Himself);otjasyul:Isobel Black (Herself);ilw6409z:Lance Percival (Himself);ef7hwnn2:Robert Robinson (Himself - Host);,http://genome.ch.bbc.co.uk/fbd251eb80e34dfeb916d2501428b1f9
