Episode,Date,Guests (Himself/Herself - Role),References
6x04,1999-10-01,60flfsj8:Gail Porter (Herself);yipahedd:Sean Lock (Himself);m8guxhhv:Marianne Faithfull (Herself);mza73a00:Stuart Adamson (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
6x05,1999-10-08,d1ngy3a3:Suggs (Himself);ygty122t:Lisa Scott-Lee (Herself);qcn04i6k:Boy George (Himself);b93y6vnu:Jo Brand (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
6x06,1999-10-15,eit9zdf0:Suzi Quatro (Herself);hc254qfs:Ben Ofoedu (Himself);o7fyqsem:Rich Hall (Himself);cn5xgihx:Ian Broudie (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
6x07,1999-10-22,remjgzbd:Brian McFadden (Himself);r563v2vd:Mary Mary (Herself);yaidfpkr:Vic Henley (Himself);dd72znm8:Jamie Benson (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
6x08,1999-12-29,8bduf8ih:Frank Skinner (Himself);smzy5so2:Leslie McKeown (Himself);7mbp1acw:Martine McCutcheon (Herself);6w579r1n:Goldie (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
6x09,2000-02-11,3ob4xxfb:Tommy Vance (Himself);wlg4u0ny:Junior Simpson (Himself);h6a1vk7h:Davina McCall (Herself);wuq9y30x:Chandrasonic (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
6x10,2000-02-18,dio8oahv:Nicky Shaw (Herself);l833pjr0:Chas Hodges (Himself);t83bgude:Simon Day (Himself);9jn7i4wr:Kelle Bryan (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
7x01,2000-09-15,9b46vz01:Johnny Vegas (Himself);q2l8ck4k:Roisin Murphy (Herself);qvt2rtx3:Danny McNamara (Himself);qlc3prch:John Entwistle (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
7x02,2000-09-22,cm79fgw4:Pär Wiksten (Himself);p4xiya08:Stuart Maconie (Himself);fupufep7:Graham Gouldman (Himself);dwcpxri4:Daphne DiConcetto (Herself);dzvabip7:Celeste Cruz (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
7x03,2000-09-29,mhn6jovu:Bradley Walsh (Himself);y2gkfz0n:Gary Stringer (Himself);ugexc8pw:June Sarpong (Herself);g65lp7k5:Mark Morriss (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
7x04,2000-10-06,8oeuua9d:Sally James (Herself);pc6c0rvw:Josh Doyle (Himself);79obsaor:Melanie Brown (Herself);b93y6vnu:Jo Brand (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
7x05,2000-10-13,0096ss7a:Joe Washbourn (Himself);k4ynw4wa:Bob Mortimer (Himself);t10mz87g:Kirsty MacColl (Herself);vo7y4a4s:Jamelia (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
7x06,2000-10-20,9e3q4p9k:Mark Steel (Himself);hi484cde:Pete Shelley (Himself);s317s5ad:Richard Neville (Himself);z6v8rr5y:Josie D'Arby (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
7x07,2000-10-27,04gvw4o4:Paul Young (Himself);qgikc84j:Dermot O'Leary (Himself);yipahedd:Sean Lock (Himself);varfhn88:Melanie Chisholm (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
7x08,2000-11-03,lala2l3q:Kate Thornton (Herself);o9e1zft9:David Soul (Himself);2ufl1i4u:Dave Gorman (Himself);f6tm75jf:Dane Bowers (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
7x09,2000-11-10,cxqhr4s0:Alvin Stardust (Himself);3lnbsttu:Trevor Nelson (Himself);1ikeux91:Liz McClarnon (Herself);kj8bsuoj:Lloyd Cole (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
7x10,2000-12-28,o11sbypg:Tony Wright (Himself);e6wb7i8j:Lorraine Kelly (Herself);28wr0zjj:Dave Hill (Himself);o7fyqsem:Rich Hall (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
8x01,2001-02-26,5t5xfilp:Brian Molko (Himself);jrr3tg2t:Pete Deveraux (Himself);lx3qk601:Sarah Cawood (Herself);6gms1z9w:Rhona Cameron (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
8x02,2001-03-05,i1het9tm:Tanya Strecker (Herself);dvfmpovw:Arthur Smith (Himself);eiqg103p:Dave Mustaine (Himself);vuj6h7mh:Brian Harvey (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
8x03,2001-03-12,65ngzogj:Slash (Himself);mn3bo3hd:Paul Marazzi (Himself);z6v8rr5y:Josie D'Arby (Herself);0tldhorj:Tony Blackburn (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
8x04,2001-03-19,wlg4u0ny:Junior Simpson (Himself);hct2usf8:Claire Richards (Herself);yurv2y45:Miles Hunt (Himself);cidt4r9q:Michael Greco (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
8x05,2001-03-26,y8wnmc7m:Glenn Tilbrook (Himself);yaidfpkr:Vic Henley (Himself);9dqg91f4:Darius Campbell (Himself);f6tm75jf:Dane Bowers (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
8x06,2001-04-02,9b46vz01:Johnny Vegas (Himself);igpuni47:Noel Sullivan (Himself);sjm7f9ij:Mark Owen (Himself);e55s64zb:Kym Marsh (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
8x07,2001-04-09,7ad4ld0f:Lisa Rogers (Herself);o5n2zyad:Steve Harley (Himself);50kxtltx:Dani Filth (Himself);zba447q9:Eddie Brill (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
8x08,2001-04-16,0w13w4m6:Rowland Rivron (Himself);m2vhktz8:Phil Kay (Himself);rmqporpc:Jade Jones (Himself);r1ihu4hn:Barbara Dickson (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
8x09,2001-04-23,paydo6t2:John Taylor (Himself);mc4wxon4:Jon Lee (Himself);9v9j03ct:Fish (Himself);5eveb8p1:Jo Caulfield (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
8x10,2001-04-30,zo2dmx7e:Leeroy Thornhill (Himself);vnztueh2:Leo Sayer (Himself);frvtpmkl:Ralf Little (Himself);nygu5bdy:Samantha Fox (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
9x01,2001-09-10,4czqqh1e:Ben Volpeliere-Pierrot (Himself);psxsunx0:Steve Strange (Himself);o3gz58x4:Matthew Meschery (Himself);367wb1x0:Katy Hill (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
9x02,2001-09-17,pjdhk7f2:Faye Tozer (Herself);8rxy9l50:Paul Ross (Himself);jjwlmwrk:MC Harvey (Himself);b9gspuj1:Ian Astbury (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
9x03,2001-09-24,85eqhjy7:Claire Sweeney (Herself);x9y0q5f5:Dara O'Briain (Himself);r4i2vi2z:Chris McCormack (Himself);ccamuv4r:Ben Adams (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
9x04,2001-10-01,mrkxmhms:Toyah Willcox (Herself);2hv18mrz:Captain Sensible (Himself);zvqyima8:Paul Leveridge (Himself);hgk9p5rc:Steve Lamacq (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
9x05,2001-10-08,9e3q4p9k:Mark Steel (Himself);hqbi2isr:Kevin Simm (Himself);dz2n2uv7:Terry Hall (Himself);xv8o8xgj:Edith Bowman (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
9x07,2001-10-22,brvcn7yz:David Van Day (Himself);u2juhzhv:Ricky Tomlinson (Himself);i3f4opxi:Rebecca Hunter (Herself);9diens1c:Jenni Falconer (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
9x08,2001-10-29,tiu897t6:Richard McNamara (Himself);o7fyqsem:Rich Hall (Himself);b42haw07:Alesha Dixon (Herself);8aon7rw3:Jo Breezer (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
9x09,2001-11-05,h05d7vbw:Mike Wilmot (Himself);40v18nlb:Richard Fairbrass (Himself);jssir4fy:Kiki Dee (Herself);3m93u7rn:Phil Alexander (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
9x10,2001-12-30,9b46vz01:Johnny Vegas (Himself);bchqpuf7:Myleene Klass (Herself);9v9j03ct:Fish (Himself);jwtu1q03:Belinda Carlisle (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
10x01,2002-01-07,z5yyq1i7:Mari Wilson (Herself);3ob4xxfb:Tommy Vance (Himself);qcn04i6k:Boy George (Himself);dpoqn8ti:Blade (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
10x02,2002-01-14,lnjuiazp:D.J. Spoony (Himself);fc76akfw:Boothby Graffoe (Himself);4q7nsszg:Cathy Dennis (Herself);d6j2jrxn:Craig Cash (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
10x03,2002-01-21,pioyrpar:Mark Lamarr (Himself - Host);sx5n2tkh:Phill Jupitus (Himself - Team Captain);dbiu4b8y:Sean Hughes (Himself - Team Captain);vj70vg71:Adam Buxton (Himself);eit9zdf0:Suzi Quatro (Herself);xbetbo24:Midge Ure (Himself);acajgupg:Claudia Winkleman (Herself - Host);,
10x04,2002-01-28,9mr5zyt8:Beverley Turner (Herself);1r125nr8:Ben Norris (Himself);l44dvbd8:Leee John (Himself);4hgpp1yz:Lesley Garrett (Herself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
10x05,2002-02-04,ry40inln:Christian O'Connell (Himself);3p2e3gxk:Kerry Katona (Herself);ssa58ufy:Ashley Taylor Dawson (Himself);v70o89xz:Pete Burns (Himself);dbiu4b8y:Sean Hughes (Himself - Team Captain);sx5n2tkh:Phill Jupitus (Himself - Team Captain);pioyrpar:Mark Lamarr (Himself - Host);,
