Episode,Date,Guests (Himself/Herself - Role),References
11x01,1996-04-16,5b7d718r:Angus Deayton (Himself - Host);3dai14ts:Paul Merton (Himself - Team Captain);tub6hiln:Ian Hislop (Himself - Team Captain);t6mx3m6n:Eddie Izzard (Himself);8zqe3f8c:Charles Kennedy (Himself);,
11x02,1996-04-23,5b7d718r:Angus Deayton (Himself - Host);z9jpoczk:Dermot Morgan (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);t6mx3m6n:Eddie Izzard (Himself);h6wdx3nf:Janet Street-Porter (Herself);,
11x03,1996-04-30,5b7d718r:Angus Deayton (Himself - Host);hk2rczao:Alan Davies (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);i4apt8jq:Clive Anderson (Himself);c3zu4btn:Mohammad al-Massari (Himself);,
11x04,1996-05-07,5b7d718r:Angus Deayton (Himself - Host);o30mt4ze:Claire Rayner (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);92eoqkw9:Martin Clunes (Himself);17ti1bqt:Neil Morrissey (Himself);,
11x05,1996-05-14,5b7d718r:Angus Deayton (Himself - Host);bbjlysaj:Fred MacAulay (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);t6mx3m6n:Eddie Izzard (Himself);o3fe5vva:Max Clifford (Himself);,
11x06,1996-05-21,5b7d718r:Angus Deayton (Himself - Host);pf57pk1b:Felix Dexter (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);i4apt8jq:Clive Anderson (Himself);nimfuofw:Piers Morgan (Himself);,
11x07,1996-05-28,5b7d718r:Angus Deayton (Himself - Host);o7fyqsem:Rich Hall (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hk2rczao:Alan Davies (Himself);6re675fm:Rupert Allason (Himself);,
11x08,1996-06-04,5b7d718r:Angus Deayton (Himself - Host);8iku6khj:Richard Wilson (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);8zd41h9x:John Bird (Himself);tl051h0m:John Fortune (Himself);,
12x01,1996-10-04,5b7d718r:Angus Deayton (Himself - Host);vj2aqy1m:Greg Proops (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hh3bsso3:Ken Livingstone (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
12x02,1996-10-11,5b7d718r:Angus Deayton (Himself - Host);6gms1z9w:Rhona Cameron (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);28i8y481:Peter Stringfellow (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
12x03,1996-10-18,5b7d718r:Angus Deayton (Himself - Host);0o8pm2dm:Mark Little (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);eckt9ik8:Nigel Lawson (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
12x04,1996-10-25,5b7d718r:Angus Deayton (Himself - Host);homuapft:Maureen Lipman (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);t5skx3qx:Tony Parsons (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
